store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
31faf575-56c6-4547-a0d0-381ad76a54c3,0.0,0.0,0.0,60.0,23.98,167.88
40f15c73-4395-4a21-8bb4-197ae40afe2e,60.0,4.0,28.0,0.0,6.67,46.67
ee393086-5079-44e5-8e4a-74070100bfbc,60.0,12.75,89.25,0.0,4.25,29.75
b0acf5a4-3a18-4967-a894-21d69c2a66c1,0.0,0.0,0.0,60.0,23.98,167.88
2f9b7e72-3016-4bf7-9ffa-8fd2845abac8,60.0,12.64,86.39,0.0,4.21,31.61
6bea2a32-0722-405a-afec-f5f7cb67da88,60.0,9.07,57.45,0.0,3.02,27.21
e496f3e3-9cb1-42c2-a175-a52ddda39e02,60.0,5.55,41.62,0.0,5.55,36.07
fe4d6193-1364-4540-a472-4060fde22ef9,0.0,0.0,0.0,60.0,11.5,80.5
fac46099-349f-42f9-b9f1-2a74404b6247,60.0,12.5,91.32,0.0,5.0,31.18
633c15ac-c89d-412e-9b24-e164e6c5477a,60.0,6.74,46.36,0.0,6.74,48.02
71ddc5cd-0642-4c53-95cb-01a3e64cbb57,60.0,12.14,88.71,0.0,4.86,30.29
5f58859f-95f8-43ae-96cb-cf4a88d0c7df,60.0,10.35,76.62,0.0,6.21,39.35
3a9d7e89-32c2-41ba-ae5a-0b09e1170c81,0.0,0.0,0.0,60.0,8.88,62.12
cfc6686d-49a1-4a81-acd7-f61cf903d84e,60.0,4.0,26.67,0.0,6.67,48.0
572a7b85-8859-475d-9ced-7d0ebe00ac14,60.0,4.0,28.0,0.0,6.67,46.67
3445480d-8907-4abc-ba36-48cf40d0492f,60.0,6.42,44.92,0.0,6.42,44.92
7643e697-28d7-45a0-ace7-4094d2a2cbab,0.0,0.0,0.0,60.0,12.0,84.0
cb5db9f2-3e2c-45fd-8d31-2e9f43bba973,60.0,6.28,46.15,0.0,4.71,30.76
a31edf38-fdc9-4087-b9b4-f5d95727cb42,60.0,6.42,44.92,0.0,6.42,44.92
8470d787-d7a4-40b1-bf64-6248f2f27e79,60.0,6.39,44.75,0.0,6.39,44.75
e72ecab8-d353-405c-a16d-0b78d032fc01,60.0,6.42,44.92,0.0,6.42,44.92
149aab93-d9ff-4b44-89a9-d24558fe51fc,0.0,0.0,0.0,60.0,11.33,79.29
d7230422-59b4-4cba-80cb-61317f4e86c8,60.0,4.12,28.88,0.0,6.88,48.12
d7bd0144-e92f-4fae-a27c-b1f9063c4d0f,60.0,6.42,44.92,0.0,6.42,44.92
e20ad392-e4e1-438c-9db5-d85b03bffdf3,0.0,0.0,0.0,60.0,1.0,7.0
363bb990-16bd-4d37-b59f-e019b196846e,60.0,4.44,31.06,0.0,7.4,51.77
79b0012d-3276-4434-9988-af0d7353988b,60.0,6.25,43.75,0.0,6.25,43.75
c4c8a2fa-421c-49b4-8e6f-fb064f3b2463,60.0,6.64,46.48,0.0,6.64,46.48
94afd1a1-3c80-496c-ab89-8c77c4c17952,60.0,12.75,89.25,0.0,4.25,29.75
8489c804-fdc9-4814-ac40-2094986632fe,0.0,0.0,0.0,60.0,8.69,60.84
d673a8ea-0c61-4c2f-929d-177faa2cd111,60.0,6.25,43.75,0.0,6.25,43.75
97cbc4cf-4ced-4436-94df-fcbdb8e70bed,60.0,6.25,43.75,0.0,6.25,43.75
bfa1b473-8816-4f72-8dac-4160e6b5c246,60.0,6.39,44.75,0.0,6.39,44.75
f7e6fee5-374a-4768-bac2-9c2cb393506e,60.0,11.6,102.1,0.0,6.96,27.85
bf93f0fb-f641-4da9-9a5e-365700f90a7d,0.0,0.0,0.0,60.0,9.49,66.44
0e134369-9e96-4759-b811-a78f80571740,60.0,4.42,33.88,0.0,7.37,48.62
ff63b15c-9a9c-4f43-b606-efbbf9101440,60.0,6.25,43.75,0.0,6.25,43.75
f077f6f8-8be4-4a2f-b858-cc2182f2c458,60.0,12.75,89.25,0.0,4.25,29.75
9a2379da-e7ac-40f4-badd-d29d4075e763,60.0,5.5,38.0,0.0,6.5,46.0
5a930bdf-1f65-4e9d-81e7-ca53d6e44227,60.0,6.37,44.58,0.0,2.12,14.86
322bcf19-c2c0-4767-ac26-cafda92957e0,60.0,13.12,91.88,0.0,4.38,30.62
0165ef34-3a7d-4e1f-870d-20a63d8fbcb3,60.0,8.3,58.1,0.0,4.98,34.86
95248f76-1342-4809-b32d-314255767eb6,60.0,12.75,87.12,0.0,4.25,31.88
53583def-3de2-4f4f-8da1-149bcef220f2,60.0,3.8,24.83,0.0,7.6,54.92
c404e701-5110-42f6-806c-f617a4eb6eb1,60.0,6.64,49.8,0.0,6.64,43.16
f5ed6629-9a29-4429-afdf-122eb29866e0,60.0,12.75,88.71,0.0,4.25,30.29
0684c0f7-7b0a-421e-9c59-6886a225f925,60.0,6.39,44.75,0.0,6.39,44.75
a9beac87-8522-4c52-a87a-05bf3b89e054,60.0,11.98,83.88,0.0,0.0,0.0
622f272f-2b3e-4be0-9494-8fed88268d87,0.0,0.0,0.0,60.0,12.0,84.0
9cfcfd70-04b5-40b7-a82c-ab31dd77d790,60.0,4.12,28.88,0.0,6.88,48.12
b3f199fe-92d2-44fa-9863-7a6e58d7250a,60.0,11.08,77.54,0.0,3.69,25.85
ed9cbf35-2600-4bec-a7b6-5bf0abc77455,60.0,4.0,28.0,0.0,6.67,46.67
97fea5f1-dbf6-4107-9878-1c1ebcb0d01d,0.0,0.0,0.0,60.0,11.33,79.29
85a124b6-ae67-4313-933b-990cbeb38eef,60.0,6.25,43.75,0.0,6.25,43.75
7380b66c-b727-4e0c-987a-c5656237f07e,60.0,6.37,39.27,0.0,2.12,20.17
689be64a-7d3c-440d-88dd-db05a0d20b07,0.0,0.0,0.0,60.0,10.5,73.5
363a5f68-83f2-4c8f-b0c1-cbd85e67c766,60.0,4.12,28.88,0.0,6.88,48.12
09f658e0-10ee-469c-af5a-e44f74646cc3,0.0,0.0,0.0,60.0,12.0,84.0
0f6cae78-502d-416b-870e-c2b86ab151ca,60.0,4.0,28.0,0.0,6.67,46.67
40ceaee7-47cd-4ae0-ade7-64b106a5cae7,60.0,4.0,28.0,0.0,6.67,46.67
22f08335-3caf-4e04-9b37-6f614be33297,60.0,4.0,28.0,0.0,6.67,46.67
